start_time,axis1,axis2,axis3,steps
2015-02-08 23:45:00,0,0,0,0
2015-02-08 23:46:00,0,37,285,0
2015-02-08 23:47:00,0,0,0,0
2015-02-08 23:48:00,0,0,0,0
2015-02-08 23:49:00,0,0,0,0
2015-02-08 23:50:00,0,0,0,0
2015-02-08 23:51:00,0,0,0,0
2015-02-08 23:52:00,0,0,0,0
2015-02-08 23:53:00,0,0,0,0
2015-02-08 23:54:00,0,0,0,0
2015-02-08 23:55:00,0,0,0,0
2015-02-08 23:56:00,0,0,0,0
2015-02-08 23:57:00,0,0,0,0
2015-02-08 23:58:00,0,0,0,0
2015-02-08 23:59:00,0,0,0,0
2015-02-09 00:00:00,0,0,0,0
2015-02-09 00:01:00,0,0,0,0
2015-02-09 00:02:00,0,0,0,0
2015-02-09 00:03:00,0,0,0,0
2015-02-09 00:04:00,0,0,0,0
2015-02-09 00:05:00,0,0,0,0
2015-02-09 00:06:00,0,0,0,0
2015-02-09 00:07:00,0,0,0,0
2015-02-09 00:08:00,0,0,0,0
2015-02-09 00:09:00,0,0,0,0
2015-02-09 00:10:00,0,0,0,0
2015-02-09 00:11:00,0,0,0,0
2015-02-09 00:12:00,0,0,0,0
2015-02-09 00:13:00,0,0,0,0
2015-02-09 00:14:00,0,0,0,0
2015-02-09 00:15:00,0,0,0,0
2015-02-09 00:16:00,0,0,0,0
2015-02-09 00:17:00,0,0,0,0
2015-02-09 00:18:00,0,0,0,0
2015-02-09 00:19:00,0,0,0,0
2015-02-09 00:20:00,0,0,0,0
